PetType,Breed,AgeMonths,Color,Size,WeightKg,Vaccinated,HealthCondition,TimeInShelterDays,PreviousOwner,AdoptionLikelihood
Bird,Parakeet,131,Orange,Large,5.03976782252952,1,0,27,0,0
Rabbit,Rabbit,73,White,Large,16.0867268546167,0,0,8,0,0
Dog,Golden Retriever,136,Orange,Medium,2.07628627890677,0,0,85,0,0
Bird,Parakeet,97,White,Small,3.33942325434414,0,0,61,1,0
Rabbit,Rabbit,123,Gray,Large,20.4980997616431,0,0,28,1,0
Dog,Labrador,70,Brown,Large,20.986260902398,0,0,87,1,0
Bird,Parakeet,169,Brown,Small,10.9026127916448,1,0,70,1,0
Cat,Siamese,13,Orange,Large,7.2526831920483,1,0,3,0,1
Bird,Parakeet,49,Brown,Medium,24.5975978519619,1,1,69,0,0
Bird,Parakeet,60,Gray,Large,7.29599365462682,0,0,73,1,0
Bird,Parakeet,130,Orange,Large,16.718785020325,0,0,7,0,0
Rabbit,Rabbit,5,White,Small,29.0780563850243,1,0,60,0,1
Dog,Golden Retriever,172,Brown,Large,5.28772069800913,1,0,4,1,0
Cat,Siamese,27,Black,Large,28.2854117573466,1,0,5,0,0
Cat,Persian,160,Brown,Medium,6.30389853899139,1,0,11,0,1
Rabbit,Rabbit,149,White,Small,17.4558530326737,1,0,15,1,0
Cat,Persian,8,Orange,Small,11.9332236468036,1,1,64,1,0
Cat,Persian,50,White,Medium,28.982929443553,1,0,13,0,1
Rabbit,Rabbit,67,Black,Large,8.93271884105617,1,1,7,1,0
Dog,Labrador,44,Gray,Small,12.5900820604869,0,1,6,0,0
Rabbit,Rabbit,125,Brown,Small,29.5029434178072,1,0,56,0,0
Cat,Persian,58,Orange,Large,16.5576413444657,0,0,64,1,0
Dog,Labrador,3,Gray,Large,15.5762733530164,1,0,50,1,1
Dog,Golden Retriever,86,White,Small,8.47557615791575,1,0,30,0,0
Bird,Parakeet,70,Orange,Large,21.3395432490028,1,0,22,0,0
Bird,Parakeet,130,Gray,Small,1.41681560155555,1,0,25,0,0
Cat,Persian,172,Orange,Large,2.43586626136651,1,0,28,0,0
Rabbit,Rabbit,2,Black,Large,18.3813990269383,1,1,84,0,0
Rabbit,Rabbit,102,Black,Medium,10.9085626407352,0,0,39,0,0
Rabbit,Rabbit,35,Brown,Large,28.6461747938279,0,1,67,0,0
Bird,Parakeet,98,Brown,Medium,27.1925300309608,1,0,5,0,1
Cat,Persian,30,Black,Large,21.6974815016245,1,1,65,0,0
Bird,Parakeet,116,Orange,Small,24.7262218527062,1,0,15,1,0
Cat,Siamese,8,Black,Small,20.3526236403631,1,0,67,0,1
Rabbit,Rabbit,150,Brown,Large,4.64188097859466,1,0,40,0,0
Bird,Parakeet,44,Black,Large,23.2007577209869,0,0,69,1,0
Rabbit,Rabbit,36,Black,Small,7.09556709284655,1,0,77,1,0
Rabbit,Rabbit,77,Orange,Large,10.3798427979057,0,0,43,0,0
Dog,Golden Retriever,31,Gray,Medium,24.7577921509702,1,0,1,0,1
Dog,Golden Retriever,47,Brown,Medium,16.55924264341,0,0,22,1,0
Bird,Parakeet,55,Orange,Medium,25.9382807113189,1,0,62,0,1
Dog,Labrador,106,Black,Medium,7.17802427545466,0,0,79,1,1
Bird,Parakeet,158,Black,Medium,18.6255747195997,1,0,26,0,1
Cat,Persian,121,Gray,Large,3.42993820389959,1,1,18,0,0
Dog,Poodle,55,Brown,Large,19.6487688126609,1,0,48,0,0
Cat,Persian,144,Brown,Medium,23.1134870954905,1,0,9,1,1
Dog,Poodle,12,White,Large,17.9629959253829,1,1,1,1,0
Dog,Poodle,145,Brown,Large,8.7207135434655,1,0,9,0,0
Rabbit,Rabbit,144,Gray,Medium,1.90893739690713,1,0,23,0,1
Rabbit,Rabbit,140,White,Large,4.46401763496429,0,0,45,0,0
Bird,Parakeet,136,White,Large,19.0467863931468,1,0,2,0,0
Rabbit,Rabbit,3,Black,Large,28.0981862884329,0,0,14,1,0
Bird,Parakeet,144,Black,Medium,6.98949771518819,0,0,38,0,0
Rabbit,Rabbit,30,Brown,Large,22.3157583240479,1,0,40,1,0
Dog,Golden Retriever,23,White,Small,26.1270808342222,1,0,63,0,1
Bird,Parakeet,92,Black,Small,16.1055831749778,1,0,82,1,0
Cat,Siamese,115,Gray,Medium,20.4087080794661,1,1,16,1,0
Rabbit,Rabbit,104,Black,Small,24.6354441836083,0,0,75,0,0
Cat,Persian,118,Black,Medium,8.55957957447721,0,1,6,0,0
Rabbit,Rabbit,5,White,Small,9.60997455377325,1,1,3,0,0
Cat,Persian,104,White,Small,1.01819798222523,1,0,14,0,0
Cat,Persian,108,Orange,Small,28.9297297960363,0,0,66,0,0
Cat,Persian,65,Gray,Medium,27.608801943294,1,0,75,0,1
Cat,Siamese,121,White,Medium,23.1724796490235,1,1,86,1,0
Bird,Parakeet,30,Brown,Large,3.2932046083228,1,0,67,0,0
Cat,Persian,149,Gray,Medium,13.9775838012857,1,1,31,1,0
Rabbit,Rabbit,84,Gray,Small,3.95486086517503,1,0,33,1,0
Cat,Persian,150,White,Small,1.46168775062116,1,0,88,1,0
Cat,Persian,32,Gray,Medium,18.8693059911653,0,0,1,0,0
Cat,Siamese,161,White,Medium,28.8640530953255,1,0,44,0,1
Rabbit,Rabbit,16,Black,Medium,27.1831726795324,1,0,15,0,1
Bird,Parakeet,38,Orange,Large,21.2058896331267,0,0,37,0,0
Rabbit,Rabbit,142,Black,Small,3.80257694078127,1,0,27,0,0
Cat,Siamese,36,White,Large,8.95075709249671,1,0,48,1,0
Rabbit,Rabbit,151,White,Large,10.2816450796734,1,1,27,0,0
Dog,Poodle,114,Black,Small,23.1313516746213,0,1,12,0,0
Rabbit,Rabbit,66,Brown,Small,24.2652261978183,1,0,67,1,0
Dog,Labrador,105,Brown,Medium,12.1680775667077,1,0,30,0,1
Cat,Siamese,85,Brown,Medium,13.1186359019107,0,0,87,0,0
Dog,Poodle,2,White,Large,2.29076213900897,1,0,66,1,1
Dog,Labrador,75,Gray,Medium,9.38496483414407,1,0,7,0,1
Dog,Labrador,67,White,Medium,14.0872701381516,1,0,34,0,1
Bird,Parakeet,151,Gray,Small,4.39250834517247,0,1,32,0,0
Dog,Labrador,154,Black,Small,14.1447563618956,1,1,39,1,0
Dog,Golden Retriever,55,Orange,Medium,25.7420985554762,1,0,43,0,1
Dog,Labrador,6,Gray,Small,17.8583095720265,1,0,43,0,1
Rabbit,Rabbit,163,Brown,Medium,3.28896579611396,1,0,78,0,1
Rabbit,Rabbit,150,White,Small,6.55846824607796,1,0,3,0,0
Rabbit,Rabbit,171,Black,Small,14.7617861545981,0,0,46,0,0
Bird,Parakeet,143,Brown,Small,11.4831273448326,1,0,32,0,0
Bird,Parakeet,86,Black,Small,11.4030835668369,1,0,43,0,0
Bird,Parakeet,60,Orange,Medium,16.3487559961641,1,1,81,0,0
Dog,Golden Retriever,101,White,Large,17.9474817260943,0,0,3,0,0
Bird,Parakeet,12,White,Small,24.1089855380095,1,1,74,0,0
Dog,Golden Retriever,49,Orange,Medium,10.8880303404121,1,1,63,0,0
Dog,Poodle,42,White,Medium,24.358522208177,1,1,40,0,0
Bird,Parakeet,166,Gray,Small,10.8197256442663,0,0,18,0,0
Cat,Siamese,82,Black,Large,2.60755667929578,0,0,67,1,0
Rabbit,Rabbit,173,Brown,Small,17.0714418791389,0,0,62,1,0
Bird,Parakeet,35,Orange,Medium,18.0491674219496,1,0,10,0,1
Dog,Poodle,158,Gray,Large,28.1016671230339,0,0,52,0,0
Dog,Golden Retriever,158,Brown,Medium,22.0557784558118,0,0,73,0,0
Bird,Parakeet,134,Brown,Small,27.6154069223387,0,0,46,0,0
Cat,Persian,67,Orange,Large,27.3420690970473,1,0,55,0,0
Dog,Golden Retriever,80,Gray,Medium,18.532649197489,0,1,46,0,0
Rabbit,Rabbit,7,Brown,Medium,16.305099894757,1,0,75,1,1
Rabbit,Rabbit,14,Brown,Medium,17.1657880477444,0,0,60,0,1
Cat,Siamese,73,Gray,Small,29.3715934226402,1,0,26,0,0
Bird,Parakeet,143,White,Large,23.4218630606618,1,0,27,1,0
Dog,Golden Retriever,149,Brown,Small,4.08171123897948,1,0,38,0,0
Dog,Golden Retriever,163,Black,Small,23.5744237966606,1,0,22,0,0
Cat,Siamese,66,Gray,Small,5.94560341804855,1,0,26,1,0
Dog,Labrador,91,Brown,Large,13.9731659211631,1,0,86,1,1
Cat,Siamese,130,Orange,Small,7.10333049311949,1,0,69,1,0
Bird,Parakeet,163,Black,Small,20.9979089004637,1,0,35,0,0
Cat,Siamese,20,Brown,Small,26.441982349598,1,0,66,0,1
Bird,Parakeet,10,Black,Small,9.42049467563375,1,0,73,1,1
Dog,Golden Retriever,25,Black,Medium,3.37831149503744,1,0,51,0,1
Bird,Parakeet,25,White,Small,9.65629984417394,1,1,18,1,0
Cat,Persian,54,Black,Medium,20.4984938800336,1,1,43,0,0
Rabbit,Rabbit,33,White,Small,10.534043699079,0,0,12,0,0
Dog,Golden Retriever,164,Gray,Large,9.0652528590603,0,0,3,1,0
Bird,Parakeet,95,White,Medium,6.34862052694368,1,0,82,0,1
Rabbit,Rabbit,14,Orange,Medium,15.4279763793586,0,0,7,0,1
Bird,Parakeet,65,Brown,Medium,9.00251601655844,1,0,6,0,1
Dog,Labrador,110,Gray,Medium,22.199300125045,0,0,82,0,1
Rabbit,Rabbit,80,Gray,Large,3.22204965777388,1,0,45,0,0
Rabbit,Rabbit,54,Orange,Small,20.2569579602282,1,0,86,0,0
Cat,Siamese,125,White,Medium,7.88924042246533,1,0,39,0,1
Bird,Parakeet,131,Brown,Large,15.1890985704965,1,0,51,1,0
Bird,Parakeet,169,White,Medium,9.29660773890656,0,0,9,0,0
Dog,Golden Retriever,134,Black,Small,21.9602916043131,0,0,23,1,0
Bird,Parakeet,25,White,Medium,28.4139041672975,1,0,12,0,1
Dog,Labrador,141,Gray,Large,27.5952266046246,1,0,88,0,1
Rabbit,Rabbit,117,Brown,Small,17.9193602391786,1,0,62,0,0
Bird,Parakeet,136,White,Large,14.4156987944524,1,0,73,1,0
Bird,Parakeet,149,Brown,Small,24.7307147737421,1,0,77,1,0
Bird,Parakeet,25,Brown,Small,20.8164645162042,1,0,40,1,0
Cat,Persian,79,Black,Small,6.32335931229105,1,0,54,0,0
Cat,Persian,68,Black,Medium,24.806657194777,0,0,81,0,0
Dog,Poodle,173,Gray,Large,13.4376472924466,1,0,7,1,0
Dog,Labrador,12,Orange,Large,6.48058413916408,1,0,17,1,1
Cat,Persian,32,Brown,Large,9.17212316149828,0,1,50,1,0
Rabbit,Rabbit,128,Orange,Small,8.75828387720193,1,1,24,0,0
Rabbit,Rabbit,96,Gray,Medium,16.0570022635003,0,0,2,1,0
Rabbit,Rabbit,92,Brown,Small,7.79673262965839,1,1,83,0,0
Rabbit,Rabbit,141,Brown,Large,4.58342813464571,1,0,33,0,0
Cat,Persian,31,Orange,Medium,4.58703466779906,1,0,21,0,1
Bird,Parakeet,78,White,Medium,17.9150097170338,1,0,74,0,1
Rabbit,Rabbit,20,Black,Medium,22.308019376632,1,1,53,1,1
Cat,Siamese,146,White,Large,10.3244572563119,1,0,46,1,0
Rabbit,Rabbit,60,Orange,Medium,2.0048705846065,1,1,45,1,0
Dog,Golden Retriever,134,Black,Medium,4.68952172117331,1,0,9,0,1
Cat,Siamese,160,White,Small,27.5261422497747,1,0,6,0,0
Dog,Labrador,93,Black,Small,15.3127661280941,1,0,51,1,1
Bird,Parakeet,43,Brown,Medium,14.1536114788401,0,0,35,0,0
Cat,Siamese,130,White,Medium,2.10342617099264,1,0,82,1,1
Rabbit,Rabbit,60,Black,Small,22.1304736471901,0,0,53,0,0
Dog,Labrador,151,Black,Small,16.3139743470303,0,0,19,0,0
Bird,Parakeet,31,Black,Small,6.8603471465091,1,0,69,0,0
Bird,Parakeet,5,White,Large,4.19213904525066,0,0,25,1,0
Cat,Persian,162,Gray,Large,12.118248045328,1,1,11,0,0
Bird,Parakeet,10,White,Small,25.2776969616557,1,0,74,0,1
Dog,Poodle,89,Orange,Medium,26.0935422168297,1,0,17,1,1
Dog,Labrador,130,White,Small,18.4825450314735,1,0,36,0,1
Bird,Parakeet,126,Black,Large,22.0985563896741,1,0,21,1,0
Cat,Persian,11,Brown,Medium,4.33951783468324,0,1,18,0,0
Rabbit,Rabbit,178,White,Large,18.0556558985678,1,1,60,0,0
Bird,Parakeet,159,White,Medium,20.3420054011283,1,0,18,1,1
Bird,Parakeet,56,Black,Large,6.82067244449997,1,0,1,0,0
Cat,Persian,83,Brown,Medium,26.5244872543975,1,1,14,0,0
Rabbit,Rabbit,137,Brown,Medium,6.65490538810957,1,1,8,0,0
Rabbit,Rabbit,99,Orange,Medium,10.0908434355471,1,1,66,0,0
Dog,Labrador,149,White,Medium,18.9961485636803,1,1,51,0,1
Cat,Siamese,73,Brown,Large,19.5121518887912,0,0,79,0,0
Cat,Persian,156,Brown,Large,21.2821574886337,1,0,60,1,0
Rabbit,Rabbit,115,Gray,Medium,4.24833967897797,1,0,34,1,1
Cat,Siamese,7,Gray,Medium,25.6344684679281,0,0,36,0,1
Cat,Siamese,80,Brown,Large,16.4525668362145,1,0,62,0,0
Dog,Labrador,144,Orange,Medium,14.668332029047,1,0,1,0,1
Dog,Labrador,97,Brown,Medium,29.4518311108918,1,0,85,0,1
Bird,Parakeet,4,Black,Medium,22.4709706112896,0,0,42,0,1
